Source,Target,Weight,Type
A_Ad_martyras,A_Ad_Nationes_I_et_II,1,undirected
A_Ad_martyras,A_Apol,24,undirected
A_Ad_martyras,Di_Cor,4,undirected
A_Ad_martyras,Di_Cult_I_et_II,11,undirected
A_Ad_martyras,Di_Spect,14,undirected
A_Ad_Nationes_I_et_II,A_Ad_martyras,1,undirected
A_Ad_Nationes_I_et_II,A_Ad_Scapulam,18,undirected
A_Ad_Nationes_I_et_II,A_Apol,54,undirected
A_Ad_Nationes_I_et_II,A_Pall,5,undirected
A_Ad_Nationes_I_et_II,D_Praes,9,undirected
A_Ad_Nationes_I_et_II,Di_Cult_I_et_II,34,undirected
A_Ad_Nationes_I_et_II,Di_Spect,11,undirected
A_Ad_Nationes_I_et_II,Di_Virg_vel,4,undirected
A_Ad_Scapulam,A_Ad_Nationes_I_et_II,18,undirected
A_Ad_Scapulam,A_Apol,27,undirected
A_Ad_Scapulam,A_Scorp,1,undirected
A_Ad_Scapulam,Di_Cult_I_et_II,7,undirected
A_Ad_Scapulam,Di_Idol,1,undirected
A_Apol,A_Ad_martyras,24,undirected
A_Apol,A_Ad_Nationes_I_et_II,54,undirected
A_Apol,A_Ad_Scapulam,27,undirected
A_Apol,A_Pall,14,undirected
A_Apol,A_Test_an,23,undirected
A_Apol,D_Praes,23,undirected
A_Apol,Di_Cor,21,undirected
A_Apol,Di_Cult_I_et_II,44,undirected
A_Apol,Di_Idol,6,undirected
A_Apol,Di_Paen,10,undirected
A_Apol,Di_Spect,34,undirected
A_Apol,Di_Virg_vel,12,undirected
A_Apol,Di_Vx_I_et_II,7,undirected
A_Pall,A_Ad_Nationes_I_et_II,5,undirected
A_Pall,A_Apol,14,undirected
A_Pall,Di_Cor,17,undirected
A_Pall,Di_Cult_I_et_II,15,undirected
A_Pall,Di_Ieiun,3,undirected
A_Scorp,A_Ad_Scapulam,1,undirected
A_Scorp,D_Adv_Hermogenem,1,undirected
A_Scorp,D_Adv_Iudaeos,15,undirected
A_Scorp,D_Adv_Marc_I,1,undirected
A_Scorp,D_Adv_Marc_III,1,undirected
A_Scorp,D_Adv_Marc_IV,35,undirected
A_Scorp,D_Adv_Marc_V,1,undirected
A_Scorp,D_Adv_Praxean,2,undirected
A_Scorp,D_Adv_Val,14,undirected
A_Scorp,D_Praes,3,undirected
A_Scorp,Di_Bapt,20,undirected
A_Scorp,Di_Cor,21,undirected
A_Scorp,Di_Fug,24,undirected
A_Scorp,Di_Idol,18,undirected
A_Scorp,Di_Ieiun,15,undirected
A_Scorp,Di_Orat,18,undirected
A_Scorp,Di_Pat,4,undirected
A_Scorp,Di_Pud,26,undirected
A_Scorp,Di_Res,11,undirected
A_Scorp,Di_Spect,9,undirected
A_Test_an,A_Apol,23,undirected
A_Test_an,Di_An,15,undirected
A_Test_an,Di_Idol,11,undirected
A_Test_an,Di_Pud,5,undirected
D_Adv_Hermogenem,A_Scorp,1,undirected
D_Adv_Hermogenem,D_Adv_Marc_I,27,undirected
D_Adv_Hermogenem,D_Adv_Marc_II,16,undirected
D_Adv_Hermogenem,D_Adv_Marc_IV,5,undirected
D_Adv_Hermogenem,Di_An,2,undirected
D_Adv_Hermogenem,Di_Mono,3,undirected
D_Adv_Iudaeos,A_Scorp,15,undirected
D_Adv_Iudaeos,D_Adv_Marc_III,35,undirected
D_Adv_Iudaeos,D_Adv_Marc_IV,10,undirected
D_Adv_Iudaeos,D_Adv_Marc_V,1,undirected
D_Adv_Iudaeos,Di_Ieiun,1,undirected
D_Adv_Marc_I,A_Scorp,1,undirected
D_Adv_Marc_I,D_Adv_Hermogenem,27,undirected
D_Adv_Marc_I,D_Adv_Marc_II,54,undirected
D_Adv_Marc_I,D_Adv_Marc_IV,18,undirected
D_Adv_Marc_I,D_Adv_Marc_V,8,undirected
D_Adv_Marc_II,D_Adv_Hermogenem,16,undirected
D_Adv_Marc_II,D_Adv_Marc_I,54,undirected
D_Adv_Marc_II,D_Adv_Marc_IV,15,undirected
D_Adv_Marc_II,Di_Pud,12,undirected
D_Adv_Marc_III,A_Scorp,1,undirected
D_Adv_Marc_III,D_Adv_Iudaeos,35,undirected
D_Adv_Marc_III,D_Adv_Marc_IV,42,undirected
D_Adv_Marc_III,D_Adv_Marc_V,39,undirected
D_Adv_Marc_III,D_Adv_Praxean,7,undirected
D_Adv_Marc_IV,A_Scorp,35,undirected
D_Adv_Marc_IV,D_Adv_Hermogenem,5,undirected
D_Adv_Marc_IV,D_Adv_Iudaeos,10,undirected
D_Adv_Marc_IV,D_Adv_Marc_I,18,undirected
D_Adv_Marc_IV,D_Adv_Marc_II,15,undirected
D_Adv_Marc_IV,D_Adv_Marc_III,42,undirected
D_Adv_Marc_IV,D_Adv_Marc_V,54,undirected
D_Adv_Marc_IV,D_Adv_Praxean,27,undirected
D_Adv_Marc_IV,D_Praes,8,undirected
D_Adv_Marc_IV,Di_Bapt,1,undirected
D_Adv_Marc_IV,Di_Fug,4,undirected
D_Adv_Marc_IV,Di_Ieiun,1,undirected
D_Adv_Marc_IV,Di_Mono,5,undirected
D_Adv_Marc_IV,Di_Pud,7,undirected
D_Adv_Marc_V,A_Scorp,1,undirected
D_Adv_Marc_V,D_Adv_Iudaeos,1,undirected
D_Adv_Marc_V,D_Adv_Marc_I,8,undirected
