Source,Target,Weight,Type
A_Ad_martyras,A_Apol,24,undirected
A_Ad_martyras,Di_Cor,13,undirected
A_Ad_martyras,Di_Cult_I_et_II,16,undirected
A_Ad_martyras,Di_Ieiun,1,undirected
A_Ad_Nationes_I_et_II,A_Ad_Scapulam,6,undirected
A_Ad_Nationes_I_et_II,A_Apol,54,undirected
A_Ad_Nationes_I_et_II,Di_Cult_I_et_II,32,undirected
A_Ad_Nationes_I_et_II,Di_Spect,11,undirected
A_Ad_Scapulam,A_Ad_Nationes_I_et_II,6,undirected
A_Ad_Scapulam,A_Apol,27,undirected
A_Ad_Scapulam,A_Scorp,1,undirected
A_Ad_Scapulam,D_Adv_Iudaeos,1,undirected
A_Ad_Scapulam,Di_Cult_I_et_II,16,undirected
A_Ad_Scapulam,Di_Idol,1,undirected
A_Ad_Scapulam,Di_Spect,2,undirected
A_Apol,A_Ad_martyras,24,undirected
A_Apol,A_Ad_Nationes_I_et_II,54,undirected
A_Apol,A_Ad_Scapulam,27,undirected
A_Apol,A_Pall,7,undirected
A_Apol,A_Test_an,26,undirected
A_Apol,D_Praes,24,undirected
A_Apol,Di_Cor,5,undirected
A_Apol,Di_Cult_I_et_II,44,undirected
A_Apol,Di_Exhort_Cast,1,undirected
A_Apol,Di_Paen,6,undirected
A_Apol,Di_Spect,24,undirected
A_Apol,Di_Vx_I_et_II,2,undirected
A_Pall,A_Apol,7,undirected
A_Pall,Di_Cor,26,undirected
A_Pall,Di_Cult_I_et_II,16,undirected
A_Pall,Di_Idol,1,undirected
A_Pall,Di_Ieiun,4,undirected
A_Scorp,A_Ad_Scapulam,1,undirected
A_Scorp,A_Test_an,1,undirected
A_Scorp,D_Adv_Hermogenem,8,undirected
A_Scorp,D_Adv_Iudaeos,15,undirected
A_Scorp,D_Adv_Marc_III,1,undirected
A_Scorp,D_Adv_Marc_IV,30,undirected
A_Scorp,D_Adv_Marc_V,1,undirected
A_Scorp,D_Adv_Praxean,13,undirected
A_Scorp,D_Adv_Val,23,undirected
A_Scorp,Di_An,4,undirected
A_Scorp,Di_Bapt,10,undirected
A_Scorp,Di_Cor,26,undirected
A_Scorp,Di_Fug,23,undirected
A_Scorp,Di_Idol,18,undirected
A_Scorp,Di_Ieiun,26,undirected
A_Scorp,Di_Orat,12,undirected
A_Scorp,Di_Pud,50,undirected
A_Scorp,Di_Res,13,undirected
A_Scorp,Di_Spect,14,undirected
A_Test_an,A_Apol,26,undirected
A_Test_an,A_Scorp,1,undirected
A_Test_an,Di_Cult_I_et_II,5,undirected
A_Test_an,Di_Idol,11,undirected
A_Test_an,Di_Pud,11,undirected
D_Adv_Hermogenem,A_Scorp,8,undirected
D_Adv_Hermogenem,D_Adv_Marc_I,27,undirected
