Source,Target,Weight,Type
A_Ad_martyras,Di_Exhort_Cast,3,undirected
A_Ad_martyras,Di_Fug,1,undirected
A_Ad_martyras,Di_Vx_I_et_II,2,undirected
A_Ad_Nationes_I_et_II,A_Apol,3,undirected
A_Ad_Nationes_I_et_II,D_Praes,2,undirected
A_Ad_Nationes_I_et_II,Di_Virg_vel,1,undirected
A_Ad_Scapulam,D_Praes,3,undirected
A_Ad_Scapulam,Di_Fug,1,undirected
A_Ad_Scapulam,Di_Virg_vel,2,undirected
A_Apol,A_Ad_Nationes_I_et_II,3,undirected
A_Apol,A_Pall,1,undirected
A_Apol,D_Adv_Marc_I,2,undirected
A_Apol,D_Praes,3,undirected
A_Apol,Di_Cor,1,undirected
A_Pall,A_Apol,1,undirected
A_Pall,Di_Cor,2,undirected
A_Pall,Di_Cult_I_et_II,3,undirected
A_Scorp,D_Adv_Marc_III,2,undirected
A_Scorp,D_Adv_Marc_V,1,undirected
A_Scorp,Di_Pud,3,undirected
A_Test_an,D_Adv_Marc_I,3,undirected
A_Test_an,D_Adv_Marc_II,2,undirected
A_Test_an,D_Adv_Marc_V,1,undirected
D_Adv_Hermogenem,D_Adv_Marc_I,4,undirected
D_Adv_Hermogenem,D_Adv_Marc_II,1,undirected
D_Adv_Hermogenem,D_Adv_Praxean,4,undirected
D_Adv_Iudaeos,D_Adv_Marc_III,3,undirected
D_Adv_Iudaeos,D_Adv_Marc_V,2,undirected
D_Adv_Iudaeos,D_Praes,1,undirected
D_Adv_Marc_I,A_Apol,2,undirected
D_Adv_Marc_I,A_Test_an,3,undirected
D_Adv_Marc_I,D_Adv_Hermogenem,4,undirected
D_Adv_Marc_I,D_Adv_Marc_II,6,undirected
D_Adv_Marc_I,D_Adv_Marc_V,2,undirected
D_Adv_Marc_I,Di_An,2,undirected
D_Adv_Marc_I,Di_Pat,1,undirected
D_Adv_Marc_II,A_Test_an,2,undirected
D_Adv_Marc_II,D_Adv_Hermogenem,1,undirected
D_Adv_Marc_II,D_Adv_Marc_I,6,undirected
D_Adv_Marc_II,D_Adv_Marc_III,1,undirected
D_Adv_Marc_II,D_Adv_Marc_IV,1,undirected
D_Adv_Marc_II,D_Adv_Marc_V,2,undirected
D_Adv_Marc_II,D_Adv_Val,2,undirected
D_Adv_Marc_II,Di_Idol,2,undirected
D_Adv_Marc_II,Di_Ieiun,2,undirected
D_Adv_Marc_II,Di_Pat,3,undirected
D_Adv_Marc_II,Di_Pud,1,undirected
D_Adv_Marc_II,Di_Spect,1,undirected
D_Adv_Marc_III,A_Scorp,2,undirected
D_Adv_Marc_III,D_Adv_Iudaeos,3,undirected
D_Adv_Marc_III,D_Adv_Marc_II,1,undirected
D_Adv_Marc_III,D_Adv_Marc_IV,4,undirected
D_Adv_Marc_III,D_Adv_Marc_V,5,undirected
D_Adv_Marc_III,D_Adv_Praxean,1,undirected
D_Adv_Marc_III,Di_Carn,1,undirected
D_Adv_Marc_III,Di_Res,2,undirected
D_Adv_Marc_IV,D_Adv_Marc_II,1,undirected
D_Adv_Marc_IV,D_Adv_Marc_III,4,undirected
D_Adv_Marc_IV,D_Adv_Marc_V,6,undirected
D_Adv_Marc_V,A_Scorp,1,undirected
D_Adv_Marc_V,A_Test_an,1,undirected
D_Adv_Marc_V,D_Adv_Iudaeos,2,undirected
D_Adv_Marc_V,D_Adv_Marc_I,2,undirected
D_Adv_Marc_V,D_Adv_Marc_II,2,undirected
D_Adv_Marc_V,D_Adv_Marc_III,5,undirected
D_Adv_Marc_V,D_Adv_Marc_IV,6,undirected
D_Adv_Marc_V,D_Adv_Praxean,3,undirected
D_Adv_Marc_V,D_Praes,3,undirected
D_Adv_Marc_V,Di_Bapt,1,undirected
D_Adv_Marc_V,Di_Carn,3,undirected
D_Adv_Marc_V,Di_Fug,1,undirected
D_Adv_Marc_V,Di_Ieiun,1,undirected
D_Adv_Marc_V,Di_Orat,2,undirected
D_Adv_Marc_V,Di_Pud,3,undirected
D_Adv_Marc_V,Di_Res,4,undirected
D_Adv_Praxean,D_Adv_Hermogenem,4,undirected
D_Adv_Praxean,D_Adv_Marc_III,1,undirected
D_Adv_Praxean,D_Adv_Marc_V,3,undirected
D_Adv_Val,D_Adv_Marc_II,2,undirected
D_Adv_Val,Di_Pud,1,undirected
D_Adv_Val,Di_Res,3,undirected
D_Praes,A_Ad_Nationes_I_et_II,2,undirected
D_Praes,A_Ad_Scapulam,3,undirected
D_Praes,A_Apol,3,undirected
D_Praes,D_Adv_Iudaeos,1,undirected
D_Praes,D_Adv_Marc_V,3,undirected
D_Praes,Di_Carn,2,undirected
D_Praes,Di_Cor,3,undirected
D_Praes,Di_Fug,3,undirected
D_Praes,Di_Mono,1,undirected
D_Praes,Di_Pud,1,undirected
D_Praes,Di_Virg_vel,5,undirected
Di_An,D_Adv_Marc_I,2,undirected
Di_An,Di_Pud,1,undirected
Di_An,Di_Res,3,undirected
Di_Bapt,D_Adv_Marc_V,1,undirected
Di_Bapt,Di_Orat,3,undirected
Di_Bapt,Di_Pud,3,undirected
Di_Carn,D_Adv_Marc_III,1,undirected
Di_Carn,D_Adv_Marc_V,3,undirected
Di_Carn,D_Praes,2,undirected
Di_Cor,A_Apol,1,undirected
Di_Cor,A_Pall,2,undirected
Di_Cor,D_Praes,3,undirected
Di_Cor,Di_Cult_I_et_II,1,undirected
Di_Cor,Di_Pud,2,undirected
Di_Cor,Di_Virg_vel,1,undirected
Di_Cult_I_et_II,A_Pall,3,undirected
Di_Cult_I_et_II,Di_Cor,1,undirected
Di_Cult_I_et_II,Di_Virg_vel,2,undirected
Di_Cult_I_et_II,Di_Vx_I_et_II,4,undirected
Di_Exhort_Cast,A_Ad_martyras,3,undirected
Di_Exhort_Cast,Di_Mono,6,undirected
Di_Exhort_Cast,Di_Paen,1,undirected
Di_Exhort_Cast,Di_Virg_vel,3,undirected
Di_Exhort_Cast,Di_Vx_I_et_II,5,undirected
Di_Fug,A_Ad_martyras,1,undirected
Di_Fug,A_Ad_Scapulam,1,undirected
Di_Fug,D_Adv_Marc_V,1,undirected
Di_Fug,D_Praes,3,undirected
Di_Fug,Di_Pud,2,undirected
Di_Idol,D_Adv_Marc_II,2,undirected
Di_Idol,Di_Orat,1,undirected
Di_Idol,Di_Pud,3,undirected
Di_Idol,Di_Spect,2,undirected
Di_Ieiun,D_Adv_Marc_II,2,undirected
Di_Ieiun,D_Adv_Marc_V,1,undirected
Di_Ieiun,Di_Pud,3,undirected
Di_Mono,D_Praes,1,undirected
Di_Mono,Di_Exhort_Cast,6,undirected
Di_Mono,Di_Pud,2,undirected
Di_Mono,Di_Virg_vel,1,undirected
Di_Orat,D_Adv_Marc_V,2,undirected
Di_Orat,Di_Bapt,3,undirected
Di_Orat,Di_Idol,1,undirected
Di_Orat,Di_Pud,3,undirected
Di_Paen,Di_Exhort_Cast,1,undirected
Di_Paen,Di_Pud,2,undirected
Di_Paen,Di_Vx_I_et_II,3,undirected
Di_Pat,D_Adv_Marc_I,1,undirected
Di_Pat,D_Adv_Marc_II,3,undirected
Di_Pat,Di_Pud,2,undirected
Di_Pud,A_Scorp,3,undirected
Di_Pud,D_Adv_Marc_II,1,undirected
Di_Pud,D_Adv_Marc_V,3,undirected
Di_Pud,D_Adv_Val,1,undirected
Di_Pud,D_Praes,1,undirected
Di_Pud,Di_An,1,undirected
Di_Pud,Di_Bapt,3,undirected
Di_Pud,Di_Cor,2,undirected
Di_Pud,Di_Fug,2,undirected
Di_Pud,Di_Idol,3,undirected
Di_Pud,Di_Ieiun,3,undirected
Di_Pud,Di_Mono,2,undirected
Di_Pud,Di_Orat,3,undirected
Di_Pud,Di_Paen,2,undirected
Di_Pud,Di_Pat,2,undirected
Di_Pud,Di_Res,4,undirected
Di_Pud,Di_Spect,3,undirected
Di_Res,D_Adv_Marc_III,2,undirected
Di_Res,D_Adv_Marc_V,4,undirected
Di_Res,D_Adv_Val,3,undirected
Di_Res,Di_An,3,undirected
Di_Res,Di_Pud,4,undirected
Di_Spect,D_Adv_Marc_II,1,undirected
Di_Spect,Di_Idol,2,undirected
Di_Spect,Di_Pud,3,undirected
Di_Virg_vel,A_Ad_Nationes_I_et_II,1,undirected
Di_Virg_vel,A_Ad_Scapulam,2,undirected
Di_Virg_vel,D_Praes,5,undirected
Di_Virg_vel,Di_Cor,1,undirected
Di_Virg_vel,Di_Cult_I_et_II,2,undirected
Di_Virg_vel,Di_Exhort_Cast,3,undirected
Di_Virg_vel,Di_Mono,1,undirected
Di_Virg_vel,Di_Vx_I_et_II,2,undirected
Di_Vx_I_et_II,A_Ad_martyras,2,undirected
Di_Vx_I_et_II,Di_Cult_I_et_II,4,undirected
Di_Vx_I_et_II,Di_Exhort_Cast,5,undirected
Di_Vx_I_et_II,Di_Paen,3,undirected
Di_Vx_I_et_II,Di_Virg_vel,2,undirected
