Source,Target,Weight,Type
A_Ad_martyras,A_Pall,2,undirected
A_Ad_martyras,Di_Cult_I_et_II,3,undirected
A_Ad_martyras,Di_Vx_I_et_II,1,undirected
A_Ad_Nationes_I_et_II,A_Apol,6,undirected
A_Ad_Nationes_I_et_II,A_Pall,3,undirected
A_Ad_Nationes_I_et_II,Di_Cult_I_et_II,1,undirected
A_Ad_Scapulam,A_Apol,4,undirected
A_Ad_Scapulam,A_Test_an,1,undirected
A_Ad_Scapulam,Di_Fug,2,undirected
A_Apol,A_Ad_Nationes_I_et_II,6,undirected
A_Apol,A_Ad_Scapulam,4,undirected
A_Apol,A_Pall,5,undirected
A_Pall,A_Ad_martyras,2,undirected
A_Pall,A_Ad_Nationes_I_et_II,3,undirected
A_Pall,A_Apol,5,undirected
A_Pall,D_Adv_Val,1,undirected
A_Pall,Di_Cor,1,undirected
A_Pall,Di_Cult_I_et_II,4,undirected
A_Scorp,D_Adv_Marc_IV,3,undirected
A_Scorp,Di_Fug,2,undirected
A_Scorp,Di_Idol,1,undirected
A_Test_an,A_Ad_Scapulam,1,undirected
A_Test_an,Di_An,3,undirected
A_Test_an,Di_Idol,3,undirected
A_Test_an,Di_Pat,1,undirected
D_Adv_Hermogenem,D_Adv_Marc_I,4,undirected
D_Adv_Hermogenem,D_Adv_Marc_II,3,undirected
D_Adv_Hermogenem,D_Adv_Praxean,6,undirected
D_Adv_Hermogenem,D_Adv_Val,2,undirected
D_Adv_Hermogenem,Di_Carn,3,undirected
D_Adv_Hermogenem,Di_Res,1,undirected
D_Adv_Iudaeos,D_Adv_Marc_III,4,undirected
D_Adv_Iudaeos,D_Adv_Marc_IV,1,undirected
D_Adv_Iudaeos,D_Adv_Marc_V,2,undirected
D_Adv_Iudaeos,Di_Ieiun,1,undirected
D_Adv_Marc_I,D_Adv_Hermogenem,4,undirected
D_Adv_Marc_I,D_Adv_Marc_II,6,undirected
D_Adv_Marc_I,D_Adv_Marc_V,1,undirected
D_Adv_Marc_II,D_Adv_Hermogenem,3,undirected
D_Adv_Marc_II,D_Adv_Marc_I,6,undirected
D_Adv_Marc_II,D_Adv_Marc_IV,1,undirected
D_Adv_Marc_II,Di_Pat,1,undirected
D_Adv_Marc_III,D_Adv_Iudaeos,4,undirected
D_Adv_Marc_III,D_Adv_Marc_IV,4,undirected
D_Adv_Marc_III,D_Adv_Marc_V,6,undirected
D_Adv_Marc_III,D_Adv_Praxean,1,undirected
D_Adv_Marc_III,Di_Res,2,undirected
D_Adv_Marc_IV,A_Scorp,3,undirected
D_Adv_Marc_IV,D_Adv_Iudaeos,1,undirected
D_Adv_Marc_IV,D_Adv_Marc_II,1,undirected
D_Adv_Marc_IV,D_Adv_Marc_III,4,undirected
D_Adv_Marc_IV,D_Adv_Marc_V,5,undirected
D_Adv_Marc_IV,D_Adv_Praxean,1,undirected
D_Adv_Marc_IV,Di_Pud,3,undirected
D_Adv_Marc_V,D_Adv_Iudaeos,2,undirected
D_Adv_Marc_V,D_Adv_Marc_I,1,undirected
D_Adv_Marc_V,D_Adv_Marc_III,6,undirected
D_Adv_Marc_V,D_Adv_Marc_IV,5,undirected
D_Adv_Marc_V,D_Adv_Praxean,2,undirected
D_Adv_Marc_V,Di_Pud,1,undirected
D_Adv_Marc_V,Di_Res,4,undirected
D_Adv_Praxean,D_Adv_Hermogenem,6,undirected
D_Adv_Praxean,D_Adv_Marc_III,1,undirected
D_Adv_Praxean,D_Adv_Marc_IV,1,undirected
D_Adv_Praxean,D_Adv_Marc_V,2,undirected
D_Adv_Praxean,Di_Carn,2,undirected
D_Adv_Val,A_Pall,1,undirected
D_Adv_Val,D_Adv_Hermogenem,2,undirected
D_Adv_Val,Di_An,6,undirected
D_Praes,Di_Carn,1,undirected
D_Praes,Di_Fug,6,undirected
D_Praes,Di_Mono,1,undirected
D_Praes,Di_Virg_vel,5,undirected
Di_An,A_Test_an,3,undirected
Di_An,D_Adv_Val,6,undirected
Di_An,Di_Res,2,undirected
Di_Bapt,Di_Orat,6,undirected
Di_Bapt,Di_Pat,2,undirected
Di_Bapt,Di_Pud,1,undirected
Di_Carn,D_Adv_Hermogenem,3,undirected
Di_Carn,D_Adv_Praxean,2,undirected
Di_Carn,D_Praes,1,undirected
Di_Cor,A_Pall,1,undirected
Di_Cor,Di_Cult_I_et_II,3,undirected
Di_Cor,Di_Idol,4,undirected
Di_Cor,Di_Spect,1,undirected
Di_Cult_I_et_II,A_Ad_martyras,3,undirected
Di_Cult_I_et_II,A_Ad_Nationes_I_et_II,1,undirected
Di_Cult_I_et_II,A_Pall,4,undirected
Di_Cult_I_et_II,Di_Cor,3,undirected
Di_Cult_I_et_II,Di_Virg_vel,1,undirected
Di_Cult_I_et_II,Di_Vx_I_et_II,5,undirected
Di_Exhort_Cast,Di_Fug,2,undirected
Di_Exhort_Cast,Di_Mono,6,undirected
Di_Exhort_Cast,Di_Paen,1,undirected
Di_Exhort_Cast,Di_Virg_vel,2,undirected
Di_Exhort_Cast,Di_Vx_I_et_II,5,undirected
Di_Fug,A_Ad_Scapulam,2,undirected
Di_Fug,A_Scorp,2,undirected
Di_Fug,D_Praes,6,undirected
Di_Fug,Di_Exhort_Cast,2,undirected
Di_Fug,Di_Paen,1,undirected
Di_Idol,A_Scorp,1,undirected
Di_Idol,A_Test_an,3,undirected
Di_Idol,Di_Cor,4,undirected
Di_Idol,Di_Orat,2,undirected
Di_Idol,Di_Spect,6,undirected
Di_Ieiun,D_Adv_Iudaeos,1,undirected
Di_Ieiun,Di_Orat,2,undirected
Di_Ieiun,Di_Pud,3,undirected
Di_Mono,D_Praes,1,undirected
Di_Mono,Di_Exhort_Cast,6,undirected
Di_Mono,Di_Virg_vel,3,undirected
Di_Mono,Di_Vx_I_et_II,3,undirected
Di_Orat,Di_Bapt,6,undirected
Di_Orat,Di_Idol,2,undirected
Di_Orat,Di_Ieiun,2,undirected
Di_Orat,Di_Pat,4,undirected
Di_Paen,Di_Exhort_Cast,1,undirected
Di_Paen,Di_Fug,1,undirected
Di_Paen,Di_Pat,5,undirected
Di_Paen,Di_Vx_I_et_II,3,undirected
Di_Pat,A_Test_an,1,undirected
Di_Pat,D_Adv_Marc_II,1,undirected
Di_Pat,Di_Bapt,2,undirected
Di_Pat,Di_Orat,4,undirected
Di_Pat,Di_Paen,5,undirected
Di_Pat,Di_Spect,2,undirected
Di_Pud,D_Adv_Marc_IV,3,undirected
Di_Pud,D_Adv_Marc_V,1,undirected
Di_Pud,Di_Bapt,1,undirected
Di_Pud,Di_Ieiun,3,undirected
Di_Pud,Di_Res,2,undirected
Di_Res,D_Adv_Hermogenem,1,undirected
Di_Res,D_Adv_Marc_III,2,undirected
Di_Res,D_Adv_Marc_V,4,undirected
Di_Res,Di_An,2,undirected
Di_Res,Di_Pud,2,undirected
Di_Spect,Di_Cor,1,undirected
Di_Spect,Di_Idol,6,undirected
Di_Spect,Di_Pat,2,undirected
Di_Virg_vel,D_Praes,5,undirected
Di_Virg_vel,Di_Cult_I_et_II,1,undirected
Di_Virg_vel,Di_Exhort_Cast,2,undirected
Di_Virg_vel,Di_Mono,3,undirected
Di_Vx_I_et_II,A_Ad_martyras,1,undirected
Di_Vx_I_et_II,Di_Cult_I_et_II,5,undirected
Di_Vx_I_et_II,Di_Exhort_Cast,5,undirected
Di_Vx_I_et_II,Di_Mono,3,undirected
Di_Vx_I_et_II,Di_Paen,3,undirected
