Source,Target,Weight,Type
A_Ad_martyras,A_Apol,1,undirected
A_Ad_martyras,A_Pall,3,undirected
A_Ad_martyras,Di_Spect,2,undirected
A_Ad_Nationes_I_et_II,A_Apol,6,undirected
A_Ad_Nationes_I_et_II,A_Pall,2,undirected
A_Ad_Nationes_I_et_II,Di_Cult_I_et_II,1,undirected
A_Ad_Scapulam,A_Apol,5,undirected
A_Ad_Scapulam,A_Test_an,2,undirected
A_Ad_Scapulam,Di_Fug,1,undirected
A_Apol,A_Ad_martyras,1,undirected
A_Apol,A_Ad_Nationes_I_et_II,6,undirected
A_Apol,A_Ad_Scapulam,5,undirected
A_Apol,A_Pall,2,undirected
A_Apol,A_Test_an,2,undirected
A_Apol,D_Praes,2,undirected
A_Apol,Di_Cult_I_et_II,3,undirected
A_Apol,Di_Spect,2,undirected
A_Pall,A_Ad_martyras,3,undirected
A_Pall,A_Ad_Nationes_I_et_II,2,undirected
A_Pall,A_Apol,2,undirected
A_Pall,D_Adv_Val,2,undirected
A_Pall,Di_Cor,4,undirected
A_Pall,Di_Cult_I_et_II,4,undirected
A_Scorp,D_Adv_Marc_III,1,undirected
A_Scorp,D_Adv_Marc_IV,2,undirected
A_Scorp,Di_Fug,6,undirected
A_Test_an,A_Ad_Scapulam,2,undirected
A_Test_an,A_Apol,2,undirected
A_Test_an,Di_An,4,undirected
A_Test_an,Di_Idol,2,undirected
D_Adv_Hermogenem,D_Adv_Marc_I,4,undirected
D_Adv_Hermogenem,D_Adv_Praxean,6,undirected
D_Adv_Hermogenem,Di_Carn,3,undirected
D_Adv_Hermogenem,Di_Virg_vel,1,undirected
D_Adv_Iudaeos,D_Adv_Marc_III,4,undirected
D_Adv_Iudaeos,D_Adv_Marc_IV,2,undirected
D_Adv_Iudaeos,D_Adv_Marc_V,1,undirected
D_Adv_Marc_I,D_Adv_Hermogenem,4,undirected
D_Adv_Marc_I,D_Adv_Marc_II,6,undirected
D_Adv_Marc_I,D_Adv_Marc_IV,1,undirected
D_Adv_Marc_II,D_Adv_Marc_I,6,undirected
D_Adv_Marc_II,D_Adv_Marc_IV,2,undirected
D_Adv_Marc_II,D_Adv_Marc_V,1,undirected
