Source,Target,Weight,Type
0,3,1,undirected
0,4,3,undirected
0,21,2,undirected
1,2,2,undirected
1,3,6,undirected
1,4,4,undirected
1,21,1,undirected
2,1,2,undirected
2,3,5,undirected
2,6,1,undirected
3,0,1,undirected
3,1,6,undirected
3,2,5,undirected
3,4,4,undirected
3,6,1,undirected
3,21,1,undirected
4,0,3,undirected
4,1,4,undirected
4,3,4,undirected
4,15,2,undirected
4,17,1,undirected
4,20,3,undirected
4,21,3,undirected
5,12,3,undirected
5,23,5,undirected
5,31,1,undirected
6,2,1,undirected
6,3,1,undirected
6,17,3,undirected
6,24,3,undirected
7,9,4,undirected
7,14,6,undirected
7,15,1,undirected
7,19,4,undirected
8,11,4,undirected
8,12,2,undirected
8,13,1,undirected
9,7,4,undirected
9,10,6,undirected
9,12,1,undirected
10,9,6,undirected
10,12,2,undirected
10,13,1,undirected
11,8,4,undirected
11,12,5,undirected
11,13,4,undirected
11,31,1,undirected
12,5,3,undirected
12,8,2,undirected
12,9,1,undirected
12,10,2,undirected
12,11,5,undirected
12,13,6,undirected
12,14,3,undirected
12,18,1,undirected
12,30,2,undirected
13,8,1,undirected
13,10,1,undirected
13,11,4,undirected
13,12,6,undirected
13,14,1,undirected
13,30,3,undirected
13,31,4,undirected
14,7,6,undirected
14,12,3,undirected
14,13,1,undirected
14,19,2,undirected
15,4,2,undirected
15,7,1,undirected
15,17,6,undirected
15,25,1,undirected
16,23,1,undirected
16,26,4,undirected
16,33,2,undirected
17,4,1,undirected
17,6,3,undirected
17,15,6,undirected
17,25,2,undirected
17,31,4,undirected
18,12,1,undirected
18,27,4,undirected
18,30,2,undirected
19,7,4,undirected
19,14,2,undirected
19,31,1,undirected
19,33,3,undirected
20,4,3,undirected
20,21,1,undirected
20,24,2,undirected
20,32,4,undirected
21,0,2,undirected
21,1,1,undirected
21,3,1,undirected
21,4,3,undirected
21,20,1,undirected
21,32,1,undirected
21,34,5,undirected
22,23,2,undirected
22,26,6,undirected
22,28,2,undirected
22,33,1,undirected
22,34,5,undirected
23,5,5,undirected
23,16,1,undirected
23,22,2,undirected
23,26,1,undirected
24,6,3,undirected
24,20,2,undirected
24,32,6,undirected
25,15,1,undirected
25,17,2,undirected
25,27,5,undirected
26,16,4,undirected
26,22,6,undirected
26,23,1,undirected
26,30,1,undirected
26,33,2,undirected
26,34,3,undirected
27,18,4,undirected
27,25,5,undirected
27,29,5,undirected
28,22,2,undirected
28,29,6,undirected
28,34,2,undirected
29,27,5,undirected
29,28,6,undirected
29,34,1,undirected
30,12,2,undirected
30,13,3,undirected
30,18,2,undirected
30,26,1,undirected
31,5,1,undirected
31,11,1,undirected
31,13,4,undirected
31,17,4,undirected
31,19,1,undirected
32,20,4,undirected
32,21,1,undirected
32,24,6,undirected
33,16,2,undirected
33,19,3,undirected
33,22,1,undirected
33,26,2,undirected
34,21,5,undirected
34,22,5,undirected
34,26,3,undirected
34,28,2,undirected
34,29,1,undirected
