form,lemma,POS,morph
Rex,rex,NOMcom,Case=Nom|Numb=Sing
fuit,sum1,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Antiochus,Antiochus,NOMpro,Case=Nom|Numb=Sing
Syriae,Syria,NOMpro,Case=Gen|Numb=Sing
ditissimus,diues,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Sup
olim,olim,ADV,Deg=Pos
in,in,PRE,MORPH=empty
cuius,qui1,PROrel,Case=Gen|Numb=Sing|Gend=Com
regno,regnum,NOMcom,Case=Abl|Numb=Sing
mater,mater,NOMcom,Case=Nom|Numb=Sing
natique,natus,NOMcom,Case=Nom|Numb=Plur|Gend=Masc
{natique},que,CON,MORPH=empty
fuerunt,sum1,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
septem,septem,ADJcar,Case=Ind
ut,ut1,ADVrel,MORPH=empty
fama,fama,NOMcom,Case=Nom|Numb=Sing
refert,refero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
de,de,PRE,MORPH=empty
sancta,sanctus,ADJqua,Case=Abl|Numb=Sing|Gend=Fem|Deg=Pos
gente,gens,NOMcom,Case=Abl|Numb=Sing
creati,creo,VER,Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
quos,qui1,PROrel,Case=Acc|Numb=Plur|Gend=Masc
cura,cura,NOMcom,Case=Nom|Numb=Sing
adsidue,assidue,ADV,Deg=Pos
generis,genus1,NOMcom,Case=Gen|Numb=Sing
meminisse,memini,VER,Mood=Inf|Tense=Perf|Voice=Act
iubebat,iubeo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
5,3,ADJcar,MORPH=empty
et,et2,CONcoo,MORPH=empty
legi,lego2,NOMcom,Case=Dat|Numb=Sing
servire,seruio,VER,Mood=Inf|Tense=Pres|Voice=Act
datae,do,VER,Numb=Plur|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
sic,sic,ADV,Deg=Pos
namque,namque,CONcoo,MORPH=empty
volentes,uolens,VER,Case=Nom|Numb=Plur|Gend=MascFem|Deg=Pos|Mood=Par|Tense=Pres|Voice=Act
de,de,PRE,MORPH=empty
populo,populus1,NOMcom,Case=Abl|Numb=Sing
meliore,bonus,ADJqua,Case=Abl|Numb=Sing|Gend=Com|Deg=Comp
dei,deus,NOMcom,Case=Nom|Numb=Plur
sua,suus,PROpos.ref,Case=Acc|Numb=Plur|Gend=Neut
iura,ius1,NOMcom,Case=Acc|Numb=Plur
tenebant,teneo,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
rex,rex,NOMcom,Case=Nom|Numb=Sing
avidus,auidus,ADJqua,Case=Nom|Numb=Sing|Gend=Masc|Deg=Pos
mutare,muto2,VER,Mood=Inf|Tense=Pres|Voice=Act
fidem,fides2,NOMcom,Case=Acc|Numb=Sing
mutare,muto2,VER,Mood=Inf|Tense=Pres|Voice=Act
timorem,timor,NOMcom,Case=Acc|Numb=Sing
iustorum,iustus,ADJqua,Case=Gen|Numb=Plur|Gend=MascNeut|Deg=Pos
voluit,uolo3,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
populo,populus1,NOMcom,Case=Dat|Numb=Sing
ut,ut4,CONsub,MORPH=empty
misceret,misceo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
iniquo,iniquus2,ADJqua,Case=Dat|Numb=Sing|Gend=MascNeut|Deg=Pos
praemia,praemium,NOMcom,Case=Acc|Numb=Plur
promittit,promitto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
matri,mater,NOMcom,Case=Dat|Numb=Sing
promittit,promitto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et2,CONcoo,MORPH=empty
auri,aurum,NOMcom,Case=Gen|Numb=Sing
10,3,ADJcar,MORPH=empty
